architecture,validation_accuracy,validation_macro_precision,validation_macro_recall,validation_macro_f1,test_accuracy,test_macro_precision,test_macro_recall,test_macro_f1,parameters,float32_tflite_bytes,float16_tflite_bytes,float32_prediction_agreement,float16_prediction_agreement
tcn,0.824212271973466,0.8530078392725277,0.8574818889323783,0.8277935380610519,0.8382352941176471,0.8477103953094933,0.8440623150483576,0.8249626609639044,64576,280380,154052,1.0,1.0
rdtcn,0.8959369817578773,0.9070177274586547,0.9144530174022919,0.897707630387753,0.9222136222910217,0.9192064481593255,0.9200427760694716,0.9154353741100567,112448,490992,271016,1.0,1.0
