phase,trial_type,expected_label,attempt,event_number,completion_type,event_duration_ms,raw_frame_count,resample48,pose_present_frames,left_hand_present_frames,right_hand_present_frames,tracking_identity_failure,trajectory_motion_mean_l2,top5,raw_top1,confidence,margin,accepted,rejection_reason,mediapipe_ms_median,mediapipe_ms_p95,tflite_ms,sign_end_to_raw_ms,sign_end_to_accepted_ms,failure_class,notes
camera_diagnostic,open_palm_diagnostic,NEGATIVE,1,2,NEUTRAL_RELEASE,5025,36,exact48,36,0,36,none,0.5665707,"CASH:0.99784863;AGAIN:0.0016509825;PROBLEM:0.0001958642;DISCOUNT:0.00013694822;CARD:0.00010350662",CASH,0.99784863,0.99619764,true,ACCEPTED,138.123,170.746,0.876719,807,807,NEGATIVE_FALSE_ACCEPT,pre_battery_camera_diagnostic_not_counted_in_frozen_negative_battery
camera_diagnostic,movement_only_diagnostic,NEGATIVE,2,1,NEUTRAL_RELEASE,5427,47,exact48,47,40,14,none,6.4202952,"COIN:0.9908304;HOW_MANY:0.0036017671;CASH:0.0022072431;CARD:0.0010551233;PROBLEM:0.0010088461",COIN,0.9908304,0.98722863,true,ACCEPTED,113.840,134.232,0.882227,670,670,NEGATIVE_FALSE_ACCEPT,post_fix_camera_diagnostic_not_counted_in_frozen_negative_battery
